Automorphism Ratio (A_r1),A_r_norm_2,A_r_norm_1,Number of Unique Groups (C_auto),Automorphism Ratio (A_r_log),num_nodes,automorphism_score,head
0.043008406685055074,0.8212899485831016,0.6425798971662031,3817,-0.35742010283379655,6654,0.4263600841599038,CiteSeer_inter0.5_intra0.5_edges1000
0.0499904281615683,0.8298345585485014,0.6596691170970029,3691,-0.34033088290299685,6654,0.44529606251878573,CiteSeer_inter0.4_intra0.5_edges1000
0.03346999515490613,0.8070478159865645,0.6140956319731292,4206,-0.38590436802687067,6654,0.3678990081154193,CiteSeer_inter0.5_intra0.6_edges1000
0.03799513936714202,0.8142504316888385,0.628500863377677,4094,-0.37149913662232276,6654,0.3847309888788698,CiteSeer_inter0.5_intra0.5_edges1000
0.026147109625511193,0.7930235366988306,0.5860470733976612,4495,-0.4139529266023384,6654,0.32446648632401565,CiteSeer_inter0.5_intra0.7_edges1000
0.028334584131852324,0.7975870208014126,0.5951740416028257,4455,-0.4048259583971742,6654,0.330477908025248,CiteSeer_inter0.6_intra0.5_edges1000
0.02059575953554314,0.7794682619846005,0.5589365239692013,4785,-0.4410634760307985,6654,0.28088367899008115,CiteSeer_inter0.5_intra0.8_edges1000
0.022676719671794805,0.7849353707277101,0.5698707414554203,4704,-0.4301292585445794,6654,0.2930568079350766,CiteSeer_inter0.7_intra0.5_edges1000
0.015940611779152257,0.7649155000495247,0.5298310000990495,5069,-0.4701689999009502,6654,0.2382025849113315,CiteSeer_inter0.5_intra0.9_edges1000
0.018268750300955042,0.7726584470364465,0.5453168940728932,4898,-0.45468310592710653,6654,0.26390141268409983,CiteSeer_inter0.8_intra0.5_edges1000
0.015350130080335686,0.7627715594453661,0.5255431188907324,5037,-0.4744568811092674,6654,0.24301172227231738,CiteSeer_inter0.9_intra0.5_edges1000
0.18117407745591285,0.9029704585370183,0.8059409170740368,658,-0.19405908292596336,6654,0.9011121130147279,CiteSeer_original
0.13016010853443907,0.8841874286980862,0.7683748573961727,1852,-0.23162514260382755,6654,0.7216711752329426,CiteSeer_inter0.1_intra0.1_edges1000
0.06714777915731504,0.8465939126850658,0.6931878253701317,3175,-0.3068121746298685,6654,0.5228434024646829,CiteSeer_inter0.1_intra0.1_edges2000
0.025830999548375456,0.7923326706896693,0.5846653413793389,4709,-0.4153346586206614,6654,0.2923053802224226,CiteSeer_inter0.1_intra0.1_edges3000
0.006818184487406144,0.7166774345417111,0.43335486908342224,5801,-0.5666451309165779,6654,0.12819356777877966,CiteSeer_inter0.1_intra0.1_edges4000
0.0015112121506967837,0.6310994669348676,0.26219893386973536,6318,-0.7378010661302647,6654,0.0504959422903517,CiteSeer_inter0.1_intra0.1_edges5000
0.0011962313607757353,0.6178234985095313,0.2356469970190629,6362,-0.7643530029809372,6654,0.043883378418996144,CiteSeer_inter0.1_intra0.2_edges1000
0.0007012421888332647,0.5874884051433353,0.17497681028667067,6458,-0.8250231897133294,6654,0.02945596633603842,CiteSeer_inter0.1_intra0.2_edges2000
0.0003895137460905206,0.554093202690629,0.10818640538125812,6525,-0.8918135946187421,6654,0.01938683498647431,CiteSeer_inter0.1_intra0.2_edges3000
0.00021063465128378725,0.5191746585659397,0.03834931713187961,6594,-0.9616506828681205,6654,0.00901713255184855,CiteSeer_inter0.1_intra0.2_edges4000
0.00015511889180967734,0.5017979587008347,0.003595917401669535,6638,-0.9964040825983307,6654,0.002404568680492991,CiteSeer_inter0.1_intra0.2_edges5000
0.00015448649096945152,0.5015659228199518,0.003131845639903874,6639,-0.9968681543600962,6654,0.0022542831379621653,CiteSeer_inter0.1_intra0.3_edges1000
