Metric,Hits@1,MRR,AUC,AP
Cora_inter0.00_intra0.00_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,1.71 ± 1.69,5.45 ± 1.36,75.78 ± 8.23,77.43 ± 5.36
Cora_inter0.50_intra0.00_total5000_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.10_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.50_intra0.20_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.50_intra0.30_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.50_intra0.40_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.50_intra0.50_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.50_intra0.60_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.50_intra0.70_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.50_intra0.80_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.50_intra0.90_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73
Cora_inter0.50_intra1.00_total5000_Orbits_4175.00_Ar1_0.51_ArScore_0.23,1.43 ± 0.89,3.27 ± 0.48,70.50 ± 7.20,72.52 ± 4.73

Cora_inter0.00_intra0.00_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,1.71 ± 1.69,5.45 ± 1.36,75.78 ± 8.23,77.43 ± 5.36
Cora_inter0.50_intra0.00_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.00_total3332_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.00_total6667_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.00_total10000_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.10_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96

Cora_inter0.50_intra0.10_total3332_Orbits_3712.00_Ar1_0.57_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
Cora_inter0.50_intra0.10_total6667_Orbits_4528.00_Ar1_0.45_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.10_total10000_Orbits_4890.00_Ar1_0.35_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69
Cora_inter0.50_intra0.20_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.20_total3332_Orbits_3712.00_Ar1_0.57_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
Cora_inter0.50_intra0.20_total6667_Orbits_4528.00_Ar1_0.45_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.20_total10000_Orbits_4890.00_Ar1_0.35_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69
Cora_inter0.50_intra0.30_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.30_total3332_Orbits_3712.00_Ar1_0.57_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
Cora_inter0.50_intra0.30_total6667_Orbits_4528.00_Ar1_0.45_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.30_total10000_Orbits_4890.00_Ar1_0.35_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69
Cora_inter0.50_intra0.40_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.40_total3332_Orbits_3712.00_Ar1_0.57_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
Cora_inter0.50_intra0.40_total6667_Orbits_4528.00_Ar1_0.45_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.40_total10000_Orbits_4890.00_Ar1_0.35_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69
Cora_inter0.50_intra0.50_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.50_total3332_Orbits_3712.00_Ar1_0.57_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
Cora_inter0.50_intra0.50_total6667_Orbits_4528.00_Ar1_0.45_ArScore_0.16,0.71 ± 0.34,2.37 ± 0.78,66.30 ± 13.14,67.94 ± 10.52
Cora_inter0.50_intra0.50_total10000_Orbits_4890.00_Ar1_0.35_ArScore_0.10,1.75 ± 0.94,3.04 ± 1.18,63.45 ± 11.98,65.52 ± 9.69
Cora_inter0.50_intra0.60_total0_Orbits_1007.00_Ar1_0.72_ArScore_0.81,2.94 ± 1.42,6.79 ± 1.82,76.79 ± 6.06,78.87 ± 3.96
Cora_inter0.50_intra0.60_total3332_Orbits_3712.00_Ar1_0.57_ArScore_0.31,1.84 ± 0.81,4.00 ± 0.79,73.20 ± 6.34,74.52 ± 4.09
