Metric,Hits@1,MRR,AUC,AP
Cora_SAGE_inter0.10_intra0.50_total5000_Orbits_4520.00_Norm_0.46_ArScore_0.17,0.41 ± 0.49,2.53 ± 0.56,61.76 ± 1.19,65.16 ± 1.28
Cora_SAGE_inter0.10_intra0.50_total5500_Orbits_4629.00_Norm_0.43_ArScore_0.15,0.49 ± 0.59,2.27 ± 0.37,60.67 ± 1.05,64.18 ± 1.20
Cora_SAGE_inter0.10_intra0.50_total6000_Orbits_4719.00_Norm_0.41_ArScore_0.13,0.38 ± 0.16,1.98 ± 0.48,60.84 ± 0.97,64.05 ± 1.18
Cora_SAGE_inter0.10_intra0.50_total6500_Orbits_4801.00_Norm_0.39_ArScore_0.11,0.87 ± 0.87,2.43 ± 0.96,60.57 ± 1.26,64.59 ± 1.20
Cora_SAGE_inter0.10_intra0.50_total7000_Orbits_4862.00_Norm_0.38_ArScore_0.10,1.53 ± 1.17,3.23 ± 0.99,60.89 ± 0.76,64.68 ± 1.23

Cora_ChebGCN_inter0.00_intra0.00_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81,0.90 ± 0.27,3.95 ± 0.30,78.18 ± 0.74,77.76 ± 0.72
Cora_ChebGCN_inter0.10_intra0.50_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81,4.50 ± 1.11,7.00 ± 0.81,78.04 ± 0.65,79.12 ± 0.53
Cora_ChebGCN_inter0.10_intra0.50_total500_Orbits_2343.00_Norm_0.69_ArScore_0.57,1.96 ± 0.54,4.93 ± 0.27,78.60 ± 0.57,78.74 ± 0.55
Cora_ChebGCN_inter0.10_intra0.50_total1000_Orbits_2754.00_Norm_0.66_ArScore_0.49,1.41 ± 0.58,4.59 ± 0.53,76.62 ± 0.54,77.45 ± 0.54
Cora_ChebGCN_inter0.10_intra0.50_total1500_Orbits_3100.00_Norm_0.64_ArScore_0.43,3.42 ± 0.76,6.56 ± 0.51,76.40 ± 0.75,77.72 ± 0.55
Cora_ChebGCN_inter0.10_intra0.50_total2000_Orbits_3358.00_Norm_0.61_ArScore_0.38,2.12 ± 0.90,5.28 ± 0.47,76.81 ± 0.58,77.32 ± 0.56
Cora_ChebGCN_inter0.10_intra0.50_total2500_Orbits_3630.00_Norm_0.58_ArScore_0.33,1.37 ± 0.30,3.93 ± 0.25,76.96 ± 0.68,77.46 ± 0.59
Cora_ChebGCN_inter0.10_intra0.50_total3000_Orbits_3834.00_Norm_0.56_ArScore_0.29,1.02 ± 0.49,4.25 ± 0.33,75.72 ± 0.68,76.84 ± 0.72
Cora_ChebGCN_inter0.10_intra0.50_total3500_Orbits_4010.00_Norm_0.54_ArScore_0.26,1.42 ± 0.48,4.23 ± 0.49,75.56 ± 0.74,75.98 ± 0.71
Cora_ChebGCN_inter0.10_intra0.50_total4000_Orbits_4196.00_Norm_0.51_ArScore_0.23,0.14 ± 0.10,3.85 ± 0.36,75.56 ± 1.10,76.14 ± 0.94
Cora_ChebGCN_inter0.10_intra0.50_total4500_Orbits_4380.00_Norm_0.49_ArScore_0.19,1.07 ± 0.46,3.64 ± 0.46,75.46 ± 0.66,75.95 ± 0.63
Cora_ChebGCN_inter0.10_intra0.50_total5000_Orbits_4520.00_Norm_0.46_ArScore_0.17,3.41 ± 0.78,5.48 ± 0.60,73.84 ± 0.94,74.02 ± 0.89
Cora_ChebGCN_inter0.10_intra0.50_total5500_Orbits_4629.00_Norm_0.43_ArScore_0.15,0.91 ± 0.19,2.85 ± 0.21,73.49 ± 0.65,73.67 ± 0.64
Cora_ChebGCN_inter0.10_intra0.50_total6000_Orbits_4719.00_Norm_0.41_ArScore_0.13,1.12 ± 0.45,3.17 ± 0.28,73.83 ± 0.88,74.72 ± 0.70
Cora_ChebGCN_inter0.10_intra0.50_total6500_Orbits_4801.00_Norm_0.39_ArScore_0.11,3.74 ± 0.47,5.48 ± 0.41,72.87 ± 0.90,74.11 ± 0.81
Cora_ChebGCN_inter0.10_intra0.50_total7000_Orbits_4862.00_Norm_0.38_ArScore_0.10,1.40 ± 0.55,3.55 ± 0.51,72.77 ± 0.88,73.62 ± 0.86



Cora_MixHopGCN_inter0.00_intra0.00_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81,11.96 ± 6.39,22.26 ± 4.40,97.68 ± 0.21,97.37 ± 0.23
Cora_MixHopGCN_inter0.10_intra0.50_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81,9.71 ± 1.83,29.38 ± 1.95,98.44 ± 0.07,98.35 ± 0.07
Cora_MixHopGCN_inter0.10_intra0.50_total500_Orbits_2343.00_Norm_0.69_ArScore_0.57,12.44 ± 2.29,30.35 ± 2.97,98.95 ± 0.13,98.97 ± 0.12
Cora_MixHopGCN_inter0.10_intra0.50_total1000_Orbits_2754.00_Norm_0.66_ArScore_0.49,27.15 ± 8.28,44.42 ± 8.95,98.52 ± 0.12,98.66 ± 0.09
Cora_GCN_inter0.00_intra0.00_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.001_batch16384_seed999,0.06 ± nan,23.88 ± nan,96.08 ± nan,96.51 ± nan
Cora_GCN_inter0.10_intra0.50_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.001_batch16384_seed999,15.48 ± nan,20.98 ± nan,95.61 ± nan,96.07 ± nan
Cora_GCN_inter0.10_intra0.50_total500_Orbits_2393.00_Norm_0.69_ArScore_0.56_lr0.001_batch16384_seed999,4.00 ± nan,15.32 ± nan,94.12 ± nan,94.97 ± nan
Cora_GCN_inter0.10_intra0.50_total1000_Orbits_2756.00_Norm_0.66_ArScore_0.49_lr0.001_batch16384_seed999,14.51 ± nan,28.47 ± nan,93.32 ± nan,94.75 ± nan
Cora_GCN_inter0.10_intra0.50_total1500_Orbits_3077.00_Norm_0.64_ArScore_0.43_lr0.001_batch16384_seed999,7.21 ± nan,14.25 ± nan,90.73 ± nan,92.79 ± nan
Cora_GCN_inter0.10_intra0.50_total2000_Orbits_3356.00_Norm_0.62_ArScore_0.38_lr0.001_batch16384_seed999,3.88 ± nan,12.93 ± nan,91.12 ± nan,92.61 ± nan
Cora_GCN_inter0.10_intra0.50_total2500_Orbits_3598.00_Norm_0.60_ArScore_0.34_lr0.001_batch16384_seed999,8.92 ± nan,17.14 ± nan,89.05 ± nan,91.33 ± nan
Cora_GCN_inter0.10_intra0.50_total3000_Orbits_3769.00_Norm_0.58_ArScore_0.30_lr0.001_batch16384_seed999,21.38 ± nan,25.40 ± nan,87.66 ± nan,90.86 ± nan
Cora_GCN_inter0.10_intra0.50_total3500_Orbits_3981.00_Norm_0.55_ArScore_0.26_lr0.001_batch16384_seed999,4.73 ± nan,14.54 ± nan,87.48 ± nan,90.02 ± nan
Cora_GCN_inter0.10_intra0.50_total4000_Orbits_4172.00_Norm_0.53_ArScore_0.23_lr0.001_batch16384_seed999,11.76 ± nan,19.68 ± nan,88.16 ± nan,90.69 ± nan
Cora_GCN_inter0.10_intra0.50_total4500_Orbits_4317.00_Norm_0.50_ArScore_0.20_lr0.001_batch16384_seed999,4.78 ± nan,14.82 ± nan,85.60 ± nan,88.80 ± nan
Cora_GCN_inter0.10_intra0.50_total5000_Orbits_4454.00_Norm_0.48_ArScore_0.18_lr0.001_batch16384_seed999,14.16 ± nan,19.76 ± nan,86.10 ± nan,88.37 ± nan
Cora_GCN_inter0.10_intra0.50_total5500_Orbits_4583.00_Norm_0.45_ArScore_0.15_lr0.001_batch16384_seed999,0.54 ± nan,5.09 ± nan,65.46 ± nan,69.46 ± nan
Cora_GCN_inter0.10_intra0.50_total6000_Orbits_4667.00_Norm_0.44_ArScore_0.14_lr0.001_batch16384_seed999,10.12 ± nan,21.44 ± nan,82.71 ± nan,86.39 ± nan
